

ours
results/load82/rel_c1_ours_all  9.999989999e-01 244618
results/load83/rel_c1_ours_all  9.999989999e-01 256144
results/load7/rel_c1_ours_all  9.999989999e-01 326190
results/load71/rel_c1_ours_all  9.999989999e-01 317245
results/load72/rel_c1_ours_all  9.999989999e-01 322814
results/load73/rel_c1_ours_all  9.999989999e-01 314190
results/load74/rel_c1_ours_all  9.999989999e-01 304809
results/load75/rel_c1_ours_all  9.999989999e-01 255623
results/load76/rel_c1_ours_all  9.999989999e-01 285273
results/load77/rel_c1_ours_all  9.999989999e-01 272245
results/load78/rel_c1_ours_all  9.999989999e-01 258279
results/load6/rel_c1_ours_all  9.999989999e-01 330887
results/load61/rel_c1_ours_all  9.999989999e-01 289362
results/load62/rel_c1_ours_all  9.999989999e-01 331194
results/load63/rel_c1_ours_all  9.999989999e-01 350775
results/load64/rel_c1_ours_all  9.999989999e-01 344198
results/load65/rel_c1_ours_all  9.999989999e-01 331194
results/load5/rel_c1_ours_all  9.999989999e-01 331318
results/load51/rel_c1_ours_all  9.999989999e-01 337489
results/load52/rel_c1_ours_all  9.999989999e-01 327360
results/load53/rel_c1_ours_all  9.999989999e-01 289975
results/load54/rel_c1_ours_all  9.999989999e-01 301095
results/load55/rel_c1_ours_all  9.999989999e-01 329789


ours
results/load84/rel_c1_ours_all  9.999989999e-01 243196
results/load85/rel_c1_ours_all  9.999989999e-01 234581
results/load86/rel_c1_ours_all  9.999989999e-01 250727
results/load87/rel_c1_ours_all  9.999989999e-01 243338


ours


ours
results/load9/rel_c1_ours_expire2  9.999989999e-01 294319
results/load91/rel_c1_ours_expire2  9.999989999e-01 261350
results/load92/rel_c1_ours_expire2  9.999989999e-01 242071
results/load93/rel_c1_ours_expire2  9.999989999e-01 270726
results/load94/rel_c1_ours_expire2  9.999989999e-01 280439
results/load8/rel_c1_ours_expire2  9.999989999e-01 321393
results/load81/rel_c1_ours_expire2  9.999989999e-01 290381
results/load82/rel_c1_ours_expire2  9.999989999e-01 282219
results/load83/rel_c1_ours_expire2  9.999989999e-01 281579
results/load84/rel_c1_ours_expire2  9.999989999e-01 252257
results/load85/rel_c1_ours_expire2  9.999989999e-01 252970
results/load86/rel_c1_ours_expire2  9.999989999e-01 270686
results/load87/rel_c1_ours_expire2  9.999989999e-01 256398
results/load7/rel_c1_ours_expire2  9.999989999e-01 339762
results/load71/rel_c1_ours_expire2  9.999989999e-01 333421
results/load72/rel_c1_ours_expire2  9.999989999e-01 337281
results/load73/rel_c1_ours_expire2  9.999989999e-01 336657
results/load74/rel_c1_ours_expire2  9.999989999e-01 331104
results/load75/rel_c1_ours_expire2  9.999989999e-01 264094
results/load76/rel_c1_ours_expire2  9.999989999e-01 303116
results/load77/rel_c1_ours_expire2  9.999989999e-01 292475
results/load78/rel_c1_ours_expire2  9.999989999e-01 263947
results/load6/rel_c1_ours_expire2  9.999989999e-01 340359
results/load61/rel_c1_ours_expire2  9.999989999e-01 283776
results/load62/rel_c1_ours_expire2  9.999989999e-01 323514
results/load63/rel_c1_ours_expire2  9.999989999e-01 353617
results/load64/rel_c1_ours_expire2  9.999989999e-01 350529
results/load65/rel_c1_ours_expire2  9.999989999e-01 323514
results/load5/rel_c1_ours_expire2  9.999989999e-01 343894
results/load51/rel_c1_ours_expire2  9.999989999e-01 344027
results/load52/rel_c1_ours_expire2  9.999989999e-01 345504
results/load53/rel_c1_ours_expire2  9.999989999e-01 302291
results/load54/rel_c1_ours_expire2  9.999989999e-01 309310
results/load55/rel_c1_ours_expire2  9.999989999e-01 339524


ours
results/load91/rel_c1_ours_no_reserve  9.999989999e-01 247821
results/load92/rel_c1_ours_no_reserve  9.999989999e-01 223509
results/load93/rel_c1_ours_no_reserve  9.999989999e-01 295559
results/load94/rel_c1_ours_no_reserve  9.999989999e-01 289808
results/load8/rel_c1_ours_no_reserve  9.999989999e-01 324211
results/load81/rel_c1_ours_no_reserve  9.999989999e-01 311811
results/load82/rel_c1_ours_no_reserve  9.999989999e-01 302885
results/load83/rel_c1_ours_no_reserve  9.999989999e-01 288179
results/load84/rel_c1_ours_no_reserve  9.999989999e-01 266586
results/load85/rel_c1_ours_no_reserve  9.999989999e-01 295716
results/load86/rel_c1_ours_no_reserve  9.999989999e-01 298916
results/load87/rel_c1_ours_no_reserve  9.999989999e-01 303144
results/load7/rel_c1_ours_no_reserve  9.999989999e-01 340477
results/load71/rel_c1_ours_no_reserve  9.999989999e-01 335480
results/load72/rel_c1_ours_no_reserve  9.999989999e-01 340329
results/load73/rel_c1_ours_no_reserve  9.999989999e-01 337242
results/load74/rel_c1_ours_no_reserve  9.999989999e-01 333338
results/load75/rel_c1_ours_no_reserve  9.999989999e-01 318292
results/load76/rel_c1_ours_no_reserve  9.999989999e-01 337686
results/load77/rel_c1_ours_no_reserve  9.999989999e-01 331731
results/load78/rel_c1_ours_no_reserve  9.999989999e-01 296113
results/load6/rel_c1_ours_no_reserve  9.999989999e-01 341006
results/load61/rel_c1_ours_no_reserve  9.999989999e-01 307626
results/load62/rel_c1_ours_no_reserve  9.999989999e-01 336466
results/load63/rel_c1_ours_no_reserve  9.999989999e-01 353617
results/load64/rel_c1_ours_no_reserve  9.999989999e-01 350529
results/load65/rel_c1_ours_no_reserve  9.999989999e-01 336466
results/load5/rel_c1_ours_no_reserve  9.999989999e-01 343894
results/load51/rel_c1_ours_no_reserve  9.999989999e-01 344027
results/load52/rel_c1_ours_no_reserve  9.999989999e-01 345504
results/load53/rel_c1_ours_no_reserve  9.999989999e-01 331121
results/load54/rel_c1_ours_no_reserve  9.999989999e-01 332107
results/load55/rel_c1_ours_no_reserve  9.999989999e-01 345991
